490615,0,0,0,0,0,0,62046.2,0,0,0,0,0,0,-162541,0,0,0,0,0,0,-13289.1,0,0,0,0,0,0,85863.8,0,0,0,0,0,0
262060,62769.5,0,0,0,0,0,-39877.1,50427.6,0,0,0,0,0,-88532.4,31064.7,0,0,0,0,0,52899.1,12301.8,0,0,0,0,0,19016.2,5.26987,0,0,0,0,0
131072,88514.4,0,0,0,0,0,-52458.8,46279,0,0,0,0,0,-25651.2,-708.612,0,0,0,0,0,44612.5,-18370.6,0,0,0,0,0,-18305.6,-7870.4,0,0,0,0,0
65536,58432.9,0,0,0,0,0,-37742.1,12704.2,0,0,0,0,0,1933.21,-17279.2,0,0,0,0,0,19937,-6277.12,0,0,0,0,0,-20560.2,8779.53,0,0,0,0,0
32768,32515.2,3298.05,0,0,0,0,-22941.4,-1971.38,2859.25,0,0,0,0,8232.83,-11341.6,2110.58,0,0,0,0,4580.13,4422.24,1259.85,0,0,0,0,-10812.9,4123.36,516.11,0,0,0,0
16384,16384,9257.12,0,0,0,0,-12909.8,-5397.48,5762.86,0,0,0,0,7197.46,-4213.66,1328.34,0,0,0,0,-1169.35,5122.67,-1285.48,0,0,0,0,-3379.24,-1098.25,-1355.63,0,0,0,0
8192,8192,6864.29,0,0,0,0,-6963.67,-4307.68,2149.64,0,0,0,0,4816.06,-370.489,-1600.46,0,0,0,0,-2270,2736.95,-1192.95,0,0,0,0,-100.441,-2230.11,638.493,0,0,0,0
4096,4096,3984.55,90.203,0,0,0,-3661.72,-2722.68,115.756,84.3179,0,0,0,2870.42,748.673,-1384.39,73.397,0,0,0,-1859.44,824.454,248.859,58.9764,0,0,0,796.27,-1404.51,654.165,42.9894,0,0,0
2048,2048,2048,878.161,0,0,0,-1894.46,-1562.46,-512.587,631.735,0,0,0,1606.69,784.534,-626.691,281.64,0,0,0,-1220.29,-4.42629,545.882,6.25787,0,0,0,781.606,-526.703,5.16771,-102.056,0,0,0
1024,1024,1024,788.241,0,0,0,-969.715,-852.336,-481.149,324.194,0,0,0,865.974,557.295,-121.665,-113.182,0,0,0,-721.897,-218.468,355.918,-169.132,0,0,0,549.892,-80.2237,-220.438,7.41925,0,0,0
512,512,512,481.394,0,0,0,-492.807,-451.307,-320.073,56.4811,0,0,0,455.629,341.995,56.9418,-160.445,0,0,0,-402.785,-205.202,130.924,-8.62832,0,0,0,337.526,66.011,-173.564,84.7155,0,0,0
256,256,256,256,66.0719,0,0,-249.214,-234.542,-188.144,-41.4195,52.6612,0,0,235.945,194.644,82.6115,-85.9371,31.809,0,0,-216.778,-141.811,17.0248,53.3778,11.9571,0,0,192.554,83.0833,-76.4189,16.955,-0.601668,0,0
128,128,128,128,87.7359,0,0,-125.601,-120.413,-104.009,-52.1343,44.9222,0,0,120.878,105.995,63.5726,-24.1459,-2.00316,0,0,-113.98,-86.1593,-18.8127,43.7922,-18.5573,0,0,105.12,62.8087,-18.1369,-18.8522,-7.09108,0,0
64,64,64,64,57.4078,0,0,-63.1518,-61.3177,-55.518,-37.1774,11.9279,0,0,61.4743,56.1419,40.4402,2.39508,-17.2367,0,0,-59.0046,-48.833,-22.0145,19.2127,-5.67559,0,0,55.7972,39.8924,3.97243,-20.2953,8.89394,0,0
32,32,32,32,31.7843,3.58822,0,-31.7001,-31.0517,-29.0011,-22.5168,-2.24592,3.08461,0,31.1051,29.2022,23.475,8.26607,-11.0843,2.23308,0,-30.2242,-26.5429,-16.272,4.25371,4.54665,1.28147,0,29.0712,23.2038,8.45718,-10.4863,3.85756,0.472724,0
16,16,16,16,16,9.26075,0,-15.894,-15.6647,-14.9397,-12.6472,-5.39745,5.67277,0,15.6831,15.0059,12.9371,7.12046,-4.01841,1.17862,0,-15.3697,-14.0467,-10.2115,-1.25922,5.06469,-1.37153,0,14.9573,12.8204,7.05374,-3.20606,-1.19542,-1.31547,0
8,8,8,8,8,6.74679,0,-7.96251,-7.88146,-7.62514,-6.8146,-4.25143,2.03837,0,7.88784,7.64733,6.9049,4.73853,-0.298393,-1.63496,0,-7.77656,-7.3034,-5.89533,-2.26959,2.65321,-1.13908,0,7.62954,6.85817,4.67358,-0.0411749,-2.21946,0.67339,0
4,4,4,4,4,3.90424,0.111408,-3.98675,-3.95809,-3.86747,-3.5809,-2.67468,0.0787644,0.103389,3.96031,3.87501,3.60977,2.81638,0.760871,-1.35639,0.0886425,-3.92085,-3.75221,-3.24114,-1.8376,0.780138,0.277478,0.0694748,3.86857,3.59184,2.78166,0.80498,-1.36918,0.630798,0.0487256
2,2,2,2,2,2,0.887575,-1.99531,-1.98518,-1.95314,-1.85182,-1.53143,-0.518249,0.629179,1.98596,1.95573,1.86127,1.5739,0.778494,-0.603186,0.266072,-1.97198,-1.91201,-1.72798,-1.20019,-0.0190349,0.544356,-0.0124,1.95342,1.85457,1.55843,0.775032,-0.504356,-0.00914363,-0.113013
1,1,1,1,1,1,0.778545,-0.998343,-0.994761,-0.983434,-0.947612,-0.834335,-0.476122,0.312464,0.995035,0.98433,0.950761,0.847442,0.549057,-0.111118,-0.119393,-0.990083,-0.968797,-0.902888,-0.708193,-0.220258,0.347006,-0.164081,0.983502,0.948299,0.841131,0.54172,-0.0714186,-0.221946,0.0156027
0.5,0.5,0.5,0.5,0.5,0.5,0.472471,-0.499414,-0.498148,-0.494143,-0.481478,-0.441429,-0.314781,0.0512975,0.498244,0.494455,0.482544,0.445586,0.335799,0.0594725,-0.158074,-0.496491,-0.488944,-0.46543,-0.394536,-0.203306,0.125173,-0.00399478,0.49416,0.48165,0.443136,0.331432,0.0679839,-0.170125,0.0835129
0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.49968,-0.498987,-0.496797,-0.48987,-0.467966,-0.398699,-0.179658,0.499039,0.496965,0.490428,0.469993,0.407735,0.234474,-0.0772612,-0.49808,-0.493941,-0.480971,-0.441119,-0.326375,-0.0648561,0.111027,0.496802,0.489927,0.468537,0.404322,0.233085,-0.0602384,-0.034871
